date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:28	495/495	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202014%2001:28:25%20GMT	http://steelbattalion.org/forums/	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/forums/index.html	(from http://steelbattalion.org/n00b.php)
20:31:28	2388/2388	---M--	200	added ('OK')	image/gif	etag:%22c6d0398-954-4f2235930f340%22	http://steelbattalion.org/headerCommTutorial.gif	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/headerCommTutorial.gif	(from http://steelbattalion.org/commTutorial.php)
20:31:29	28704/28704	---M--	200	added ('OK')	image/jpeg	etag:%22d2d8065-7020-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/controllerButtons.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/controllerButtons.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:30	9672/9672	---M--	200	added ('OK')	image/jpeg	etag:%22d2d806a-25c8-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/tuner.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/tuner.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:31	17391/17391	---M--	200	added ('OK')	image/jpeg	etag:%22d2d8062-43ef-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/channelTwo.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/channelTwo.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:31	12252/12252	---M--	200	added ('OK')	image/jpeg	etag:%22d2d8063-2fdc-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/blinkyOrange.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/blinkyOrange.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:32	10913/10913	---M--	200	added ('OK')	image/jpeg	etag:%22d2d8067-2aa1-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/teammatesMain.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/teammatesMain.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:33	10369/10369	---M--	200	added ('OK')	image/jpeg	etag:%22d2d8069-2881-4f2235accf000%22	http://steelbattalion.org/commTutorialMedia/teammatesMap.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/commTutorialMedia/teammatesMap.jpg	(from http://steelbattalion.org/commTutorial.php)
20:31:34	5847/5847	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0086-16d7-4f22366a96fc0%22	http://steelbattalion.org/media/screensLOC/thumb32.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/thumb32.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:35	24879/24879	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0065-612f-4f223662f5dc0%22	http://steelbattalion.org/media/screensLOC/screen32.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/screen32.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:36	31917/31917	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202014%2001:28:22%20GMT	http://steelbattalion.org/weaponsMain.php	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/weaponsMain.html	(from http://steelbattalion.org/n00b.php)
20:31:37	8277/8277	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0085-2055-4f223669a2d80%22	http://steelbattalion.org/media/screensLOC/thumb31.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/thumb31.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:39	12795/12795	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0084-31fb-4f223669a2d80%22	http://steelbattalion.org/media/screensLOC/thumb30.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/thumb30.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:40	48991/48991	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0064-bf5f-4f223662f5dc0%22	http://steelbattalion.org/media/screensLOC/screen31.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/screen31.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:42	12817/12817	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0082-3211-4f223669a2d80%22	http://steelbattalion.org/media/screensLOC/thumb29.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/thumb29.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:52	130093/130093	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0063-1fc2d-4f223662f5dc0%22	http://steelbattalion.org/media/screensLOC/screen30.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/screen30.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
20:31:53	36592/36592	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202014%2001:28:23%20GMT	http://steelbattalion.org/weaponsSub.php	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/weaponsSub.html	(from http://steelbattalion.org/n00b.php)
20:31:54	12942/12942	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0081-328e-4f223669a2d80%22	http://steelbattalion.org/media/screensLOC/thumb28.jpg	C:/Users/Cedrick/Desktop/steel_battalion/steel%20battalion/steelbattalion.org/media/screensLOC/thumb28.jpg	(from http://steelbattalion.org/screenshotsLOC.php)
